Modelo_Unico;Modelo_Base;Processador;Cores_Maximos;Frequencia_GHz;rPerf_Total
S812_p8_4c_3.00GHz;S812;p8;4c;3.00;63.0
S822_p8_4c_3.00GHz;S822;p8;4c;3.00;63.0
S822_p8_6c_3.80GHz;S822;p8;6c;3.80;113.8
S822_p8_8c_4.15GHz;S822;p8;8c;4.15;146.1
S822_p8_10c_3.40GHz;S822;p8;10c;3.40;167.5
S822_p8_8c_3.00GHz;S822;p8;8c;3.00;122.9
S822_p8_12c_3.80GHz;S822;p8;12c;3.80;221.9
S822_p8_16c_4.15GHz;S822;p8;16c;4.15;284.9
S822_p8_20c_3.40GHz;S822;p8;20c;3.40;326.6
S922_p9_4c_2.8GHz;S922;p9;4c;2.8;89.8
S922_p9_8c_3.4GHz;S922;p9;8c;3.4;202.3
S922_p9_16c_3.4GHz;S922;p9;16c;3.4;394.5
S922_p9_10c_2.9GHz;S922;p9;10c;2.9;218.6
S922_p9_11c_2.8GHz;S922;p9;11c;2.8;233.9
S922_p9_20c_2.9GHz;S922;p9;20c;2.9;426.4
S922_p9_22c_2.8GHz;S922;p9;22c;2.8;456.1
S1012_p10_4c_3.00GHz;S1012;p10;4c;3.00;130.4
S1012_p10_8c_3.00GHz;S1012;p10;8c;3.00;234.1
S1022s_p10_4c_3.00GHz;S1022s;p10;4c;3.00;129.4
S1022s_p10_8c_3.00GHz;S1022s;p10;8c;3.00;254.2
S1022s_p10_16c_3.00GHz;S1022s;p10;16c;3.00;477.8
S1022_p10_12c_2.9GHz;S1022;p10;12c;2.9;358.5
S1022_p10_24c_2.9GHz;S1022;p10;24c;2.9;699.2
S1022_p10_32c_2.75GHz;S1022;p10;32c;2.75;924.1
S1022_p10_40c_2.45GHz;S1022;p10;40c;2.45;1024.1
L1022_p10_12c_2.9GHz;L1022;p10;12c;2.9;358.5
L1022_p10_24c _2.9GHz;L1022;p10;24c ;2.9;699.2
L1022_p10_32c_2.75GHz;L1022;p10;32c;2.75;924.1
L1022_p10_40c_2.45GHz;L1022;p10;40c;2.45;1024.1
S1122_p11_8c_3.60GHz;S1122;p11;8c;3.60;292.9
S1122_p11_20c_3.05GHz;S1122;p11;20c;3.05;626.7
S1122_p11_32c_3.00GHz;S1122;p11;32c;3.00;1040.3
S1122_p11_48c_2.65GHz;S1122;p11;48c;2.65;1357.8
S1122_p11_60c_2.40GHz;S1122;p11;60c;2.40;1531.9
L1122_p11_32c_3.00GHz;L1122;p11;32c;3.00;1040.3
L1122_p11_48c_2.65GHz;L1122;p11;48c;2.65;1357.8
L1122_p11_60c_2.40GHz;L1122;p11;60c;2.40;1531.9
S814_p8_4c_3.00GHz;S814;p8;4c;3.00;63.0
S814_p8_6c_3.00GHz;S814;p8;6c;3.00;91.8
S814_p8_8c_3.70GHz;S814;p8;8c;3.70;135.6
S914_p9_4c_2.30GHz;S914;p9;4c;2.30;80.9
S914_p9_6c_2.30GHz;S914;p9;6c;2.30;118.6
S914_p9_8c_2.80GHz;S914;p9;8c;2.80;183.2
S1014_p10_4c_3.00GHz;S1014;p10;4c;3.00;129.4
S1014_p10_8c_3.00GHz;S1014;p10;8c;3.00;254.2
S1014_p10_24c_2.75GHz;S1014;p10;24c;2.75;683.0
S824_p8_6c_3.80GHz;S824;p8;6c;3.80;113.8
S824_p8_8c_4.10GHz;S824;p8;8c;4.10;156.4
S824_p8_12c_3.80GHz;S824;p8;12c;3.80;221.9
S824_p8_16c_4.10GHz;S824;p8;16c;4.10;304.8
S824_p8_24c_3.50GHz;S824;p8;24c;3.50;397.3
S924_p9_8c_3.80GHz;S924;p9;8c;3.80;219.4
S924_p9_16c_3.80GHz;S924;p9;16c;3.80;427.8
S924_p9_10c_3.50GHz;S924;p9;10c;3.50;256.1
S924_p9_11c_3.45GHz;S924;p9;11c;3.45;278.6
S924_p9_12c_3.40GHz;S924;p9;12c;3.40;299.0
